,name,packets_sent,packets_received,avg_packet_latency_ns,avg_packet_latency_cyc,min_packet_latency_ns,max_packet_latency_ns,total_hops,avg_time_per_hop,avg_cyc_per_hop,min_hop_path,max_hop_path,avg_hop_path,accepted_traffic,min_accepted_traffic,max_accepted_traffic,offered_traffic,capture_period
15,loc_0.225,4182,4182,77.42,7.74,40.00,300.00,10991,29.46,2.95,2,5,2.63,0.22,0.21,0.23,0.23,2000
16,loc_0.25,4379,4379,82.50,8.25,40.00,300.00,11364,31.79,3.18,2,5,2.60,0.25,0.24,0.25,0.25,2000
17,loc_0.275,5035,5035,132.02,13.20,40.00,690.00,13205,50.34,5.03,2,5,2.62,0.27,0.27,0.28,0.28,2000
18,loc_0.3,5394,5394,342.98,34.30,40.00,3890.00,14148,130.76,13.08,2,5,2.62,0.29,0.23,0.30,0.30,2000
19,loc_0.4,7263,7263,2977.73,297.77,40.00,11830.00,18937,1142.06,114.21,2,5,2.61,0.32,0.18,0.39,0.40,2000
20,loc_0.5,9024,9024,5803.70,580.37,50.00,17110.00,23665,2213.08,221.31,2,5,2.62,0.32,0.18,0.42,0.50,2000
21,loc_0.6,10739,10739,9218.35,921.84,50.00,25150.00,28075,3526.12,352.61,2,5,2.61,0.32,0.18,0.40,0.60,2000
22,loc_0.8,14520,14520,15839.84,1583.98,50.00,39890.00,38033,6047.23,604.72,2,5,2.62,0.31,0.15,0.44,0.80,2000
23,loc_1,18000,18000,21452.28,2145.23,50.00,53620.00,47198,8181.30,818.13,2,5,2.62,0.32,0.21,0.44,1.00,2000
24,nea_0.01,192,192,48.07,4.81,40.00,110.00,454,20.33,2.03,2,5,2.36,0.01,0.01,0.01,0.01,2000
25,nea_0.1,1774,1774,53.19,5.32,40.00,140.00,4320,21.84,2.18,2,5,2.44,0.10,0.09,0.10,0.10,2000
26,nea_0.2,3619,3619,64.52,6.45,40.00,230.00,8887,26.28,2.63,2,5,2.46,0.20,0.18,0.20,0.20,2000
27,nea_0.225,3872,3872,65.95,6.59,40.00,250.00,9443,27.04,2.70,2,5,2.44,0.22,0.21,0.23,0.23,2000
28,nea_0.25,4568,4568,76.79,7.68,40.00,300.00,11187,31.36,3.14,2,5,2.45,0.25,0.24,0.25,0.25,2000
29,nea_0.275,4922,4922,85.17,8.52,40.00,370.00,11995,34.95,3.50,2,5,2.44,0.27,0.26,0.28,0.28,2000
30,nea_0.3,5385,5385,144.44,14.44,40.00,1210.00,13221,58.83,5.88,2,5,2.46,0.30,0.29,0.30,0.30,2000
31,nea_0.4,7272,7272,1758.18,175.82,40.00,7650.00,17740,720.71,72.07,2,5,2.44,0.35,0.24,0.40,0.40,2000
32,nea_0.5,9042,9042,4438.32,443.83,40.00,12980.00,22013,1823.07,182.31,2,5,2.43,0.35,0.21,0.45,0.50,2000
33,nea_0.6,10759,10759,7279.95,727.99,40.00,20190.00,26129,2997.63,299.76,2,5,2.43,0.35,0.24,0.48,0.60,2000
34,nea_0.8,14409,14409,13003.86,1300.39,50.00,33390.00,35233,5318.10,531.81,2,5,2.45,0.35,0.23,0.49,0.80,2000
35,nea_1,18000,18000,18761.85,1876.18,50.00,47800.00,43900,7692.78,769.28,2,5,2.44,0.35,0.22,0.49,1.00,2000
36,hot_0.01,171,171,58.42,5.84,40.00,110.00,490,20.39,2.04,2,5,2.87,0.01,0.01,0.01,0.01,2000
37,hot_0.1,1764,1764,65.81,6.58,40.00,170.00,5021,23.12,2.31,2,5,2.85,0.10,0.09,0.10,0.10,2000
38,hot_0.2,3696,3696,3644.15,364.41,40.00,14600.00,10564,1274.97,127.50,2,5,2.86,0.15,0.05,0.20,0.20,2000
39,hot_0.225,4031,4031,4428.55,442.85,40.00,13060.00,11504,1551.76,155.18,2,5,2.85,0.16,0.04,0.23,0.23,2000
40,hot_0.25,4446,4446,6124.66,612.47,40.00,15660.00,12661,2150.72,215.07,2,5,2.85,0.15,0.07,0.23,0.25,2000
41,hot_0.275,4958,4958,8388.90,838.89,40.00,20970.00,14211,2926.76,292.68,2,5,2.87,0.15,0.06,0.26,0.28,2000
42,hot_0.3,5404,5404,9210.78,921.08,40.00,23030.00,15346,3243.52,324.35,2,5,2.84,0.16,0.08,0.24,0.30,2000
43,hot_0.4,7235,7235,16651.41,1665.14,40.00,35600.00,20587,5851.89,585.19,2,5,2.85,0.15,0.08,0.26,0.40,2000
44,hot_0.5,9050,9050,23328.15,2332.81,40.00,49370.00,25916,8146.31,814.63,2,5,2.86,0.15,0.06,0.24,0.50,2000
45,hot_0.6,10676,10676,29031.44,2903.14,50.00,61670.00,30428,10186.00,1018.60,2,5,2.85,0.15,0.07,0.23,0.60,2000
46,hot_0.8,14297,14297,43061.82,4306.18,50.00,89310.00,40754,15106.61,1510.66,2,5,2.85,0.15,0.06,0.26,0.80,2000
47,hot_1,18000,18000,58118.19,5811.82,50.00,120100.00,51422,20343.97,2034.40,2,5,2.86,0.15,0.07,0.25,1.00,2000
48,bp_com_0.01,186,186,75.86,7.59,60.00,130.00,689,20.48,2.05,3,5,3.70,0.01,0.01,0.01,0.01,2000
49,bp_shu_0.01,172,172,62.62,6.26,20.00,90.00,529,20.36,2.04,1,4,3.08,0.01,0.01,0.01,0.01,2000
50,bp_rev_0.01,191,191,58.17,5.82,20.00,100.00,544,20.42,2.04,1,4,2.85,0.01,0.01,0.01,0.01,2000
51,bp_rot_0.01,197,197,50.41,5.04,20.00,90.00,486,20.43,2.04,1,4,2.47,0.01,0.01,0.01,0.01,2000
52,bp_com_0.1,1835,1835,162.77,16.28,60.00,1600.00,6702,44.57,4.46,3,5,3.65,0.10,0.10,0.10,0.10,2000
53,bp_shu_0.1,1777,1777,66.89,6.69,20.00,150.00,5333,22.29,2.23,1,4,3.00,0.10,0.10,0.10,0.10,2000
